name,likes,time,servings,link,calories,fat,carbs,fiber,sugar,protein,no_ing,contains_soy,contains_glutten,fruits,vegetables,grains,dairy_alternatives,herbs_and_spices,sweeteners,oils,condiments_and_sauces,grains_and_cereals
Whipped Coffee,0.92,15.0,1,https://tasty.co/recipe/whipped-coffee,132.0,0.0,28.0,0.0,28.0,0,5,0,0,0,0,0,0,0,1,0,0,0
Ratatouille,0.95,72.0,8,https://tasty.co/recipe/ratatouille,118.0,3.0,22.0,5.0,9.0,0,20,0,0,0,1,0,0,1,0,1,0,0
Homemade Dutch Oven Bread,0.98,30.0,8,https://tasty.co/recipe/homemade-dutch-oven-bread,259.0,0.0,54.0,1.0,0.0,0,5,0,1,0,0,1,0,0,0,1,0,0
Spaghetti With Garlic And Oil,0.93,30.0,4,https://tasty.co/recipe/spaghetti-with-garlic-and-oil,234.0,3.0,42.0,1.0,1.0,0,6,0,0,0,0,0,0,1,0,1,0,0
3-Ingredient Banana Oat Smoothie,0.93,30.0,1,https://tasty.co/recipe/3-ingredient-banana-oat-smoothie,552.0,12.0,95.0,11.0,32.0,0,3,0,0,1,0,1,0,0,0,0,0,0
The Fluffiest Vegan Pancakes,0.97,30.0,4,https://tasty.co/recipe/the-fluffiest-vegan-pancakes,159.0,1.0,33.0,1.0,4.0,0,8,0,0,1,0,1,0,0,1,0,1,0
"Cucumber, Tomato, And Avocado Salad",0.98,30.0,2,https://tasty.co/recipe/cucumber-tomato-and-avocado-salad,460.0,37.0,31.0,17.0,6.0,0,9,0,0,0,1,0,0,1,0,1,0,0
Veggie Garlic Noodles,0.96,30.0,4,https://tasty.co/recipe/veggie-garlic-noodles,353.0,8.0,62.0,3.0,7.0,1,8,1,0,0,1,1,0,1,1,1,1,0
Mushroom Stroganoff,0.93,30.0,4,https://tasty.co/recipe/mushroom-stroganoff,212.0,3.0,37.0,2.0,5.0,0,14,0,0,0,1,1,1,1,0,1,0,1
Vegan Lasagna Soup,0.95,30.0,6,https://tasty.co/recipe/lasagna-soup,229.0,1.0,34.0,4.0,7.0,1,12,0,0,0,1,0,0,1,0,1,0,0
Vegan Chocolate Chip Cookies,0.88,30.0,10,https://tasty.co/recipe/vegan-chocolate-chip-cookies,335.0,20.0,38.0,2.0,24.0,0,10,0,0,0,0,1,0,0,1,1,0,0
Avocado Quinoa Power Salad,0.95,30.0,6,https://tasty.co/recipe/avocado-quinoa-power-salad,221.0,11.0,25.0,6.0,1.0,0,10,0,0,0,1,1,0,0,0,1,0,0
Peanut Butter Oat Energy Balls,0.97,30.0,6,https://tasty.co/recipe/peanut-butter-oat-energy-balls,87.0,3.0,12.0,1.0,3.0,0,5,0,0,0,0,1,0,0,0,0,0,0
3-Ingredient Breakfast Cookies,0.89,30.0,8,https://tasty.co/recipe/3-ingredient-breakfast-cookies,102.0,1.0,21.0,2.0,4.0,1,3,0,0,1,0,1,0,0,0,0,0,0
Southwestern-Style Quinoa Salad,0.98,30.0,2,https://tasty.co/recipe/southwestern-style-quinoa-salad,992.0,36.0,147.0,32.0,12.0,1,15,0,0,0,1,1,0,1,0,1,0,0
Curry Noodle Soup,0.94,30.0,6,https://tasty.co/recipe/curry-noodle-soup,387.0,19.0,47.0,5.0,9.0,1,14,1,0,0,1,1,1,1,0,1,0,0
Chickpea Sweet Potato Stew,0.97,30.0,4,https://tasty.co/recipe/chickpea-sweet-potato-stew,411.0,9.0,67.0,13.0,20.0,1,13,0,0,0,1,0,0,1,0,1,0,0
Penne With Tomato Sauce,0.94,30.0,4,https://tasty.co/recipe/penne-with-tomato-sauce,154.0,2.0,28.0,3.0,6.0,0,7,0,0,0,1,0,0,1,0,1,0,1
Easy Chickpea Curry (Channa Masala),0.97,30.0,4,https://tasty.co/recipe/easy-chickpea-curry-channa-masala,416.0,7.0,70.0,19.0,15.0,1,16,0,0,0,1,1,0,1,0,1,0,1
Vegetable Dumpling Soup,0.95,30.0,6,https://tasty.co/recipe/vegetable-dumpling-soup,195.0,2.0,38.0,3.0,4.0,0,16,0,0,0,1,1,0,1,0,1,0,0
The Best Ever Vegan Cinnamon Rolls,0.98,30.0,8,https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,791.0,36.0,104.0,3.0,35.0,0,13,0,0,0,0,1,1,1,1,0,0,0
Cinnamon Roll Pancakes With Chloe Coscarelli,0.87,30.0,2,https://tasty.co/recipe/cinnamon-roll-pancakes-with-chloe-coscarelli,206.54,7.31,30.69,0.0,0.0,0,11,0,1,0,0,1,1,1,1,1,0,0
Eggplant Potato Tomato Stew,0.97,30.0,5,https://tasty.co/recipe/eggplant-potato-tomato-stew,390.0,6.0,75.0,16.0,17.0,1,14,0,0,0,1,0,0,1,0,1,0,0
Easily The Best Garlic Herb Roasted Potatoes,0.96,30.0,5,https://tasty.co/recipe/easily-the-best-garlic-herb-roasted-potatoes,642.0,3.0,141.0,12.0,6.0,0,10,0,0,0,0,0,0,1,0,1,0,0
Black Bean Burgers,0.95,15.0,4,https://tasty.co/recipe/black-bean-burgers,249.0,3.0,46.0,5.0,8.0,1,14,1,0,0,1,1,0,1,0,1,1,0
Cilantro Rice,0.96,30.0,4,https://tasty.co/recipe/cilantro-rice,215.0,0.0,46.0,0.0,0.0,0,7,0,0,0,0,1,0,1,0,0,0,0
Berry Smoothie Bowl,0.94,30.0,2,https://tasty.co/recipe/berry-smoothie-bowl,292.0,7.0,50.0,9.0,31.0,1,14,1,0,1,0,0,1,0,0,0,0,0
Chickpea Salad Sandwich,0.97,30.0,3,https://tasty.co/recipe/chickpea-salad-sandwich,337.0,12.0,42.0,12.0,8.0,1,12,0,0,0,1,0,0,1,0,0,1,1
One-Pot Mexican Quinoa,0.97,30.0,4,https://tasty.co/recipe/one-pot-mexican-quinoa,412.0,14.0,60.0,15.0,4.0,1,16,0,0,0,0,1,0,1,0,1,1,0
Guacamole,0.97,30.0,4,https://tasty.co/recipe/guacamole,256.0,22.0,14.0,10.0,0.0,0,7,0,0,0,1,0,0,1,0,0,0,0
One-Pan Breakfast Potatoes,0.97,30.0,4,https://tasty.co/recipe/one-pan-breakfast-potatoes,239.0,2.0,51.0,5.0,6.0,0,9,0,0,0,1,0,0,1,0,1,0,0
Tomato Basil Soup,0.96,30.0,8,https://tasty.co/recipe/tomato-basil-soup,66.0,0.0,13.0,2.0,7.0,0,12,0,0,0,1,0,0,1,0,0,0,0
Hearty Vegetable Stew,0.97,30.0,6,https://tasty.co/recipe/hearty-vegetable-stew,211.0,1.0,42.0,5.0,7.0,0,16,1,0,0,1,1,0,1,0,1,1,0
PB&J Overnight Oats,0.92,30.0,2,https://tasty.co/recipe/pb-j-overnight-oats,553.0,21.0,71.0,9.0,20.0,0,8,0,0,1,0,1,0,0,0,0,0,0
Summer Vegetable Minestrone Soup,0.97,30.0,2,https://tasty.co/recipe/summer-vegetable-minestrone-soup,1089.0,5.0,207.0,28.0,29.0,0,14,0,0,0,1,0,0,1,0,0,0,1
Classic Party Guacamole,0.97,30.0,8,https://tasty.co/recipe/classic-party-guacamole,69.0,5.0,5.0,2.0,0.0,0,9,0,0,0,1,0,0,1,0,0,0,0
Thai Coconut Vegetable Curry,0.95,30.0,8,https://tasty.co/recipe/thai-coconut-vegetable-curry,253.0,11.0,32.0,8.0,12.0,1,14,0,0,1,1,1,1,1,1,1,0,0
Easy Vegan Pasta Salad,0.95,30.0,4,https://tasty.co/recipe/easy-vegan-pasta-salad,351.0,7.0,58.0,12.0,10.0,1,13,0,0,0,1,0,0,1,0,1,1,1
Protein-Packed Chili,0.97,30.0,8,https://tasty.co/recipe/protein-packed-chili,194.0,2.0,39.0,8.0,8.0,1,23,0,0,0,1,1,0,1,0,0,0,0
Chipotle Chickpea Tacos,0.98,30.0,2,https://tasty.co/recipe/chipotle-chickpea-tacos,375.0,7.0,58.0,17.0,10.0,1,6,1,0,0,0,0,0,1,0,1,1,0
Garlic Veggie Rotini Pasta,0.94,30.0,3,https://tasty.co/recipe/garlic-veggie-rotini-pasta,186.0,2.0,37.0,7.0,6.0,0,9,0,0,0,1,0,0,1,0,0,0,1
Chinese Takeout-style Tofu And Broccoli,0.95,30.0,4,https://tasty.co/recipe/chinese-takeout-style-tofu-and-broccoli,227.0,8.0,27.0,7.0,11.0,1,14,1,0,0,1,1,0,1,0,1,1,0
One-Pot Lentil Bolognese,0.95,30.0,4,https://tasty.co/recipe/one-pot-lentil-bolognese,506.0,3.0,94.0,11.0,13.0,1,19,0,0,0,1,0,0,1,0,1,0,0
Chocolate Peanut Butter Cookie Smoothie,0.88,30.0,1,https://tasty.co/recipe/chocolate-peanut-butter-cookie-smoothie,654.0,28.0,87.0,13.0,33.0,0,5,0,0,1,0,0,0,0,0,0,0,0
How To Make Homemade Sourdough Bread,0.95,30.0,8,https://tasty.co/recipe/how-to-make-homemade-sourdough-bread,460.0,1.0,96.0,3.0,2.0,0,8,0,0,0,0,1,0,0,1,0,0,0
Slow Cooker Rosemary Bread,0.96,30.0,8,https://tasty.co/recipe/slow-cooker-rosemary-bread,210.0,2.0,41.0,1.0,0.0,0,7,0,1,0,0,1,0,1,1,1,0,0
Slow Cooker Roasted Tomato Basil Soup,0.94,30.0,8,https://tasty.co/recipe/slow-cooker-roasted-tomato-basil-soup,76.0,4.0,10.0,2.0,5.0,0,12,0,0,0,1,0,0,1,0,1,0,0
White Rice,0.96,30.0,4,https://tasty.co/recipe/rice,211.0,0.0,45.0,0.0,0.0,0,3,0,0,0,0,1,0,0,0,0,0,0
Tortilla Bowl Southwestern Salad,0.97,30.0,4,https://tasty.co/recipe/tortilla-bowl-southwestern-salad,396.0,22.0,44.0,9.0,3.0,1,16,0,0,0,1,1,0,1,0,1,0,1
Chocolate Chip Banana Bread Overnight Oats,0.85,30.0,2,https://tasty.co/recipe/chocolate-chip-banana-bread-overnight-oats,466.0,9.0,81.0,9.0,24.0,0,11,0,0,1,0,1,0,1,0,0,0,0
Veggie-Packed Chow Mein,0.96,25.0,4,https://tasty.co/recipe/veggie-packed-chow-mein,356.0,9.0,59.0,6.0,9.0,1,22,1,0,0,1,1,0,1,1,0,1,0
Summer Potato Salad,0.97,30.0,6,https://tasty.co/recipe/summer-potato-salad,439.0,25.0,44.0,4.0,5.0,0,15,0,0,0,1,0,0,1,0,0,1,0
Three Bean Salad,0.98,30.0,5,https://tasty.co/recipe/three-bean-salad,325.0,6.0,54.0,17.0,5.0,1,11,0,0,0,1,0,0,1,0,1,1,0
Buffalo Chickpea Wraps,0.97,30.0,2,https://tasty.co/recipe/buffalo-chickpea-wraps,599.0,16.0,88.0,20.0,12.0,1,12,0,0,0,1,0,0,1,0,1,1,1
