,likes,time,servings,ingredients,nutritions,link
Whipped Coffee,92% WOULD MAKE AGAIN,15 minutes,for 1 serving,"2 tablespoons hot water (28 g); 2 tablespoons sugar (24 g); 2 tablespoons instant coffee powder (12 g); milk, to serve; ice, to serve","Calories 132
Fat 0g
Carbs 28g
Fiber 0g
Sugar 28g
Protein 1g",https://tasty.co/recipe/whipped-coffee
Ratatouille,95% WOULD MAKE AGAIN,"Total Time
1 hr 35 min
Prep Time
20 minutes
Cook Time
1 hr 15 min",for 8 servings,"2 eggplants; 6 roma tomatoes; 2 yellow squashes; 2 zucchinis; 2 tablespoons olive oil; 1 medium white onion, diced; 4 cloves garlic, minced; 1 red bell pepper, seeded and diced; 1 yellow bell pepper, seeded and diced; kosher salt, to taste; freshly ground black pepper, to taste; 28 oz crushed tomatoes (795 g); 2 tablespoons thinly sliced fresh basil; 2 tablespoons thinly sliced fresh basil; 1 teaspoon minced garlic; 2 tablespoons finely chopped fresh parsley; 2 teaspoons fresh thyme leaves; kosher salt, to taste; freshly ground black pepper, to taste; 4 tablespoons olive oil","Calories 118
Fat 3g
Carbs 22g
Fiber 5g
Sugar 9g
Protein 3g",https://tasty.co/recipe/ratatouille
Homemade Dutch Oven Bread,98% WOULD MAKE AGAIN,,for 8 servings,"2 cups lukewarm water (480 mL), between 90˚-110˚F (30˚-40˚C); 1 envelope active dry yeast; 4 cups all-purpose flour (500 g), lightly packed and leveled off, plus more for dusting; 1 ½ teaspoons kosher salt; 1 teaspoon olive oil","Calories 259
Fat 0g
Carbs 54g
Fiber 1g
Sugar 0g
Protein 7g",https://tasty.co/recipe/homemade-dutch-oven-bread
Spaghetti With Garlic And Oil,93% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"salt, to taste; ½ lb spaghetti (225 g); 3 tablespoons extra virgin olive oil; 4 cloves garlic, sliced; 1 teaspoon red chili flakes; 2 tablespoons fresh parsley, finely chopped, optional","Calories 234
Fat 3g
Carbs 42g
Fiber 1g
Sugar 1g
Protein 7g",https://tasty.co/recipe/spaghetti-with-garlic-and-oil
3-Ingredient Banana Oat Smoothie,93% WOULD MAKE AGAIN,,for 1 serving,"½ cup rolled oats (50 g); 1 banana; 1 cup milk (240 mL), of choice","Calories 552
Fat 12g
Carbs 95g
Fiber 11g
Sugar 32g
Protein 18g",https://tasty.co/recipe/3-ingredient-banana-oat-smoothie
The Fluffiest Vegan Pancakes,97% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"1 cup flour (125 g); 2 tablespoons organic sugar; 1 tablespoon baking powder; ½ teaspoon salt; 1 cup non-dairy milk (240 mL); 1 tablespoon apple cider vinegar; 1 teaspoon vanilla; maple syrup, to serve","Calories 159
Fat 1g
Carbs 33g
Fiber 1g
Sugar 4g
Protein 3g",https://tasty.co/recipe/the-fluffiest-vegan-pancakes
"Cucumber, Tomato, And Avocado Salad",98% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"1 english cucumber, diced; 4 roma tomatoes, diced; 3 ripe avocados, diced; ½ red onion, diced; ¼ cup fresh cilantro (10 g), chopped; 1 lemon, juiced; salt, to taste; pepper, to taste; 2 tablespoons extra virgin olive oil","Calories 460
Fat 37g
Carbs 31g
Fiber 17g
Sugar 6g
Protein 6g",https://tasty.co/recipe/cucumber-tomato-and-avocado-salad
Veggie Garlic Noodles,96% WOULD MAKE AGAIN,,for 4 servings,"2 tablespoons vegetable oil (30 mL); 5 cloves garlic, minced; 4 green onions, sliced, divided; 2 carrots, cut into matchsticks; 1 cup snap peas (100 g); 2 tablespoons brown sugar; 3 tablespoons soy sauce; 9 oz dried rice noodles (250 g), cooked","Calories 353
Fat 8g
Carbs 62g
Fiber 3g
Sugar 7g
Protein 6g",https://tasty.co/recipe/veggie-garlic-noodles
Mushroom Stroganoff,93% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"2 tablespoons olive oil, divided; 1 medium yellow onion, diced; 12 oz cremini mushroom (340 g), sliced; 3 cloves garlic; ½ teaspoon dried thyme; ¼ teaspoon pepper; ½ teaspoon salt; ¼ cup dry white wine (60 mL); ½ tablespoon vegan worcestershire; ¼ cup flour (30 g); 2 cups vegetable broth (480 mL); 1 ½ cups almond milk (360 mL); 8 oz fusilli pasta (225 g), uncooked; fresh parsley, chopped, for serving, garnish","Calories 212
Fat 3g
Carbs 37g
Fiber 2g
Sugar 5g
Protein 8g",https://tasty.co/recipe/mushroom-stroganoff
Vegan Lasagna Soup,95% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"1 tablespoon olive oil; 1 onion, diced; 3 cloves garlic, minced; 2 tablespoons tomato paste; 1 teaspoon dried basil; 1 teaspoon dried oregano; 28 oz canned crushed tomatoes (795 g); 6 cups vegetable broth (1.4 L); ⅓ cup green lentils (50 g), rinsed; 8 oz dried lasagna noodles (225 g); 3 cups fresh spinach (120 g); thinly sliced fresh basil, for serving","Calories 229
Fat 1g
Carbs 34g
Fiber 4g
Sugar 7g
Protein 9g",https://tasty.co/recipe/lasagna-soup
