,likes,time,servings,ingredients,nutritions,link
Homemade Croutons,95% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,"4 slices bread, stale and cubed; 1 tablespoon olive oil; 1 teaspoon salt; 1 teaspoon garlic powder; 1 teaspoon dried oregano",,https://tasty.co/recipe/homemade-croutons
Vegetarian Breakfast Apple Sausages,88% WOULD MAKE AGAIN,,for 10 links,"2 tablespoons olive oil, divided; ½ cup onion (75 g), minced; 2 cloves garlic, minced; 1 cup apple (120 g), minced; 1 cup baby bella mushroom (75 g), minced; 1 teaspoon fennel seeds; 1 teaspoon dried rosemary; 1 teaspoon sage powder; 1 tablespoon maple syrup; salt, to taste; pepper, to taste; 15 oz cannellini bean (425 g), 1 can, drained and rinsed; ½ cup chickpeas (100 g), canned, rinsed and drained, or cooked; 1 cup vital wheat gluten (125 g), or all-purpose flour",,https://tasty.co/recipe/vegetarian-breakfast-apple-sausages
Lentil Nuggets,85% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"1 ½ cups lentils (255 g); 1 carrot, sliced; ½ cup corn (85 g); ½ cup pea (75 g); 1 cup shredded cheddar cheese (115 g), we used vegan; 1 teaspoon dried oregano; 1 teaspoon salt; 1 teaspoon pepper; ½ teaspoon red pepper flakes; 1 clove garlic","Calories 280
Fat 12g
Carbs 25g
Fiber 4g
Sugar 2g
Protein 17g",https://tasty.co/recipe/lentil-nuggets
Cashew Mac And Peas,81% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"2 yellow potatoes, peeled and cubed; 1 medium carrot, peeled and cut into 1-inch (2 cm) pieces; 1 onion, peeled and quartered; ½ cup cashews (65 g); 1 teaspoon salt; 1 teaspoon garlic powder; 1 teaspoon onion powder; 2 tablespoons nutritional yeast; 16 oz macaroni (455 g), cooked; 2 cups green pea (300 g); paprika, to taste","Calories 633
Fat 6g
Carbs 117g
Fiber 7g
Sugar 11g
Protein 22g",https://tasty.co/recipe/cashew-mac-and-peas
Blueberry Mango Popsicles,92% WOULD MAKE AGAIN,Under 30 minutes,for 6 popsicles,"1 cup mango (165 g), diced; 1 cup blueberry (100 g); 1 ½ cups water (360 mL); popsicle mold","Calories 46
Fat 0g
Carbs 11g
Fiber 1g
Sugar 9g
Protein 0g",https://tasty.co/recipe/blueberry-mango-popsicles
Tangy Tortilla Chips,90% WOULD MAKE AGAIN,"Total Time
30 minutes
Prep Time
5 minutes
Cook Time
30 minutes",for 4 servings,"12 corn tortillas, 4 inch (10 cm) wide; ¼ cup olive oil (60 mL); 2 tablespoons McCormick® Tangy Spice Blend, divided; 2 teaspoons kosher salt, divided, plus more to taste","Calories 189
Fat 5g
Carbs 32g
Fiber 4g
Sugar 0g
Protein 4g",https://tasty.co/recipe/tangy-tortilla-chips
Kiano's Potato Bhajias,93% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,"⅓ cup chickpea flour (40 g); ¼ cup rice flour (30 g); ¼ cup fresh cilantro (10 g), finely chopped; 2 serrano peppers, seeded and finely chopped; 2 teaspoons ginger paste; 2 teaspoons garlic paste; kosher salt, to taste; ½ cup water (120 mL); oil, for frying; 1 lb yukon gold potato (455 g), peeled and sliced into 1/8 in (3 mm) thick rounds; tomato, or other chutney, for serving","Calories 79
Fat 1g
Carbs 15g
Fiber 1g
Sugar 1g
Protein 2g",https://tasty.co/recipe/kiano-s-potato-bhajias
Healthy Homemade Gazpacho,90% WOULD MAKE AGAIN,,for 4 servings,"2 lb tomatoes (900 g), preferably beefsteak or roma, quartered, plus more, chopped, for garnish; 1 red bell pepper, seeded and chopped, plus more for garnish; ½ white onion, chopped, plus more for garnish; ⅓ cucumber, peeled and chopped; 1 slice bread, preferably stale, chopped; 3 cloves garlic, minced; ⅓ cup olive oil (80 mL); 1 tablespoon sherry vinegar, or red wine vinegar; 1 cup cold water (240 mL); 1 pinch ground cumin, optional; kosher salt, to taste; freshly ground black pepper, to taste","Calories 148
Fat 5g
Carbs 24g
Fiber 5g
Sugar 13g
Protein 4g",https://tasty.co/recipe/healthy-homemade-gazpacho
Tofu Scramble Breakfast Tacos,94% WOULD MAKE AGAIN,Under 30 minutes,for 1 serving,"1 tablespoon olive oil; ⅓ block tofu; 1 tablespoon low sodium soy sauce; 1 tablespoon nutritional yeast; ½ teaspoon turmeric; ¾ teaspoon garlic powder; black pepper, to taste; 1 cup spinach (40 g); 2 whole wheat tortillas; ¼ avocado, sliced; ½ red pepper, diced; hot sauce, optional","Calories 480
Fat 18g
Carbs 60g
Fiber 8g
Sugar 4g
Protein 21g",https://tasty.co/recipe/tofu-scramble-breakfast-tacos
4-Ingredient Holiday Truffles,85% WOULD MAKE AGAIN,Under 30 minutes,for 40 truffles,"1 cup full-fat coconut milk (240 mL), mixed well; 20 oz dark chocolate (440 g), chopped; 1 teaspoon vanilla extract; kosher salt, to taste; cocoa powder; pistachio, crushed; unsweetened coconut flake; hazelnut, crushed; freeze-dried strawberry; matcha powder","Calories 82
Fat 5g
Carbs 8g
Fiber 0g
Sugar 7g
Protein 0g",https://tasty.co/recipe/4-ingredient-holiday-truffles
Guacamole Onion Rings,81% WOULD MAKE AGAIN,Under 30 minutes,for 20 rings,"3 avocados, ripe; 1 lime; 1 tomato, diced and drained of excess water; ¼ cup fresh cilantro (10 g), chopped; 2 cloves garlic, minced; 1 teaspoon salt; ½ teaspoon chili powder; 2 yellow onions, small-medium; flour, for breading; 2 eggs, beaten; 2 cups panko breadcrumbs (100 g); oil, for frying","Calories 95
Fat 4g
Carbs 12g
Fiber 2g
Sugar 1g
Protein 2g",https://tasty.co/recipe/guacamole-onion-rings
